Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Tue,2023-10-24,21:00,Lensfr,1.2,1–1,0.5,nlPSV Eindhoven,"38,133",Stade Bollaert-Delelis,Radu Petrescu,Match Report,
Group stage,3,Tue,2023-10-24,21:00,Union Berlinde,0.4,0–1,0.2,itNapoli,"72,062",Olympiastadion Berlin,Irfan Peljto,Match Report,
Group stage,3,Wed,2023-10-25,18:45,Barcelonaes,2.6,2–1,0.9,uaShakhtar,"41,409",Estadi Olímpic Lluís Companys,Ivan Kružliak,Match Report,
Group stage,3,Wed,2023-10-25,18:45,Feyenoordnl,2.1,3–1,2.3,itLazio,"44,031",Stadion Feijenoord,Tobias Stieler,Match Report,
Group stage,3,Wed,2023-10-25,20:00,Celticsct,0.9,2–2,2.1,esAtlético Madrid,"55,844",Celtic Park,Felix Zwayer,Match Report,
Group stage,3,Wed,2023-10-25,20:00,Newcastle Utdeng,1.1,0–1,1.8,deDortmund,"52,024",St James' Park,Artur Soares Dias,Match Report,
Group stage,3,Wed,2023-10-25,21:00,Antwerpbe,0.7,1–4,1.3,ptPorto,"13,651",Bosuilstadion,Benoît Bastien,Match Report,
Group stage,3,Wed,2023-10-25,21:00,Young Boysch,0.4,1–3,4.2,engManchester City,"31,500",Stadion Wankdorf,Morten Krogh,Match Report,
Group stage,3,Wed,2023-10-25,21:00,Paris S-Gfr,1.3,3–0,0.6,itMilan,"45,962",Parc des Princes,Slavko Vinčič,Match Report,
Group stage,3,Wed,2023-10-25,21:00,RB Leipzigde,3.1,3–1,1.0,rsRed Star,"42,209",Red Bull Arena,José Sánchez,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,2023-11-07,18:45,Dortmundde,1.4,2–0,0.6,engNewcastle Utd,"81,365",Signal Iduna Park,Alejandro Hernández,Match Report,
Group stage,4,Tue,2023-11-07,19:45,Shakhtarua,0.9,1–0,0.9,esBarcelona,"49,147",Volksparkstadion,Irfan Peljto,Match Report,
Group stage,4,Tue,2023-11-07,20:00,Manchester Cityeng,3.4,3–0,0.0,chYoung Boys,"51,049",Etihad Stadium,Erik Lambrechts,Match Report,
Group stage,4,Tue,2023-11-07,20:00,Portopt,2.2,2–0,0.6,beAntwerp,"44,830",Estádio Do Dragão,Maurizio Mariani,Match Report,
Group stage,4,Tue,2023-11-07,21:00,Red Starrs,1.5,1–2,2.3,deRB Leipzig,"41,961",Stadion Rajko Mitić,Daniele Orsato,Match Report,
Group stage,4,Tue,2023-11-07,21:00,Milanit,1.4,2–1,1.5,frParis S-G,"75,649",Stadio Giuseppe Meazza,Jesús Gil,Match Report,
Group stage,4,Tue,2023-11-07,21:00,Atlético Madrides,2.9,6–0,0.0,sctCeltic,"60,863",Estadio Cívitas Metropolitano,Ivan Kružliak,Match Report,
Group stage,4,Tue,2023-11-07,21:00,Lazioit,1.1,1–0,1.4,nlFeyenoord,"36,612",Stadio Olimpico,Szymon Marciniak,Match Report,
Group stage,4,Wed,2023-11-08,18:45,Real Sociedades,3.3,3–1,0.8,ptBenfica,"36,815",Reale Arena,Anthony Taylor,Match Report,
Group stage,4,Wed,2023-11-08,18:45,Napoliit,1.7,1–1,1.1,deUnion Berlin,"42,449",Stadio Diego Armando Maradona,Danny Makkelie,Match Report,
Group stage,4,Wed,2023-11-08,20:00,Arsenaleng,1.5,2–0,0.0,esSevilla,"60,024",Arsenal Stadium,István Kovács,Match Report,
Group stage,4,Wed,2023-11-08,21:00,PSV Eindhovennl,0.8,1–0,1.1,frLens,"34,200",Philips Stadion,Daniel Siebert,Match Report,
Group stage,4,Wed,2023-11-08,21:00,RB Salzburgat,0.8,0–1,2.0,itInter,"30,071",Red Bull Arena,Serdar Gözübüyük,Match Report,
Group stage,4,Wed,2023-11-08,21:00,FC Copenhagendk,2.2,4–3,3.0,engManchester Utd,"36,099",Parken,Donatas Rumšas,Match Report,
Group stage,4,Wed,2023-11-08,21:00,Bayern Munichde,2.5,2–1,0.7,trGalatasaray,"75,000",Allianz Arena,António Nobre,Match Report,
Group stage,4,Wed,2023-11-08,21:00,Real Madrides,3.2,3–0,1.4,ptBraga,"68,509",Estadio Santiago Bernabéu,Halil Umut Meler,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,2023-11-28,18:45,Lazioit,2.3,2–0,0.4,sctCeltic,"50,555",Stadio Olimpico,Halil Umut Meler,Match Report,
Group stage,5,Tue,2023-11-28,19:45,Shakhtarua,1.3,1–0,1.1,beAntwerp,"47,209",Volksparkstadion (1953),Bartosz Frankowski,Match Report,
Group stage,5,Tue,2023-11-28,20:00,Manchester Cityeng,1.8,3–2,0.5,deRB Leipzig,"51,402",Etihad Stadium,Glenn Nyberg,Match Report,
Group stage,5,Tue,2023-11-28,21:00,Milanit,2.1,1–3,1.8,deDortmund,"75,292",Stadio Giuseppe Meazza,István Kovács,Match Report,
Group stage,5,Tue,2023-11-28,21:00,Paris S-Gfr,4.4,1–1,1.3,engNewcastle Utd,"46,435",Parc des Princes,Szymon Marciniak,Match Report,
Group stage,5,Tue,2023-11-28,21:00,Feyenoordnl,1.1,1–3,1.3,esAtlético Madrid,"43,992",Stadion Feijenoord,Anthony Taylor,Match Report,
Group stage,5,Tue,2023-11-28,21:00,Young Boysch,1.3,2–0,1.8,rsRed Star,"31,500",Stadion Wankdorf,Danny Makkelie,Match Report,
Group stage,5,Tue,2023-11-28,21:00,Barcelonaes,1.8,2–1,1.1,ptPorto,"43,533",Estadi Olímpic Lluís Companys,Daniele Orsato,Match Report,
Group stage,5,Wed,2023-11-29,18:45,Sevillaes,1.8,2–3,2.2,nlPSV Eindhoven,"29,403",Estadio Ramón Sánchez Pizjuán,Davide Massa,Match Report,
Group stage,5,Wed,2023-11-29,20:00,Benficapt,1.6,3–3,3.0,itInter,"52,944",Estádio do Sport Lisboa e Benfica,Andris Treimanis,Match Report,
Group stage,5,Wed,2023-11-29,20:00,Bragapt,1.8,1–1,0.8,deUnion Berlin,"15,855",Estádio Municipal de Braga,Clément Turpin,Match Report,
Group stage,5,Wed,2023-11-29,20:00,Arsenaleng,2.6,6–0,0.4,frLens,"59,987",Emirates Stadium,Artur Soares Dias,Match Report,
Group stage,5,Wed,2023-11-29,20:45,Galatasaraytr,1.5,3–3,1.6,engManchester Utd,"51,733",RAMS Park,José Sánchez,Match Report,
Group stage,5,Wed,2023-11-29,21:00,Bayern Munichde,0.7,0–0,0.7,dkFC Copenhagen,"75,000",Allianz Arena,Stéphanie Frappart,Match Report,
Group stage,5,Wed,2023-11-29,21:00,Real Madrides,2.8,4–2,1.4,itNapoli,"73,562",Estadio Santiago Bernabéu,François Letexier,Match Report,
Group stage,5,Wed,2023-11-29,21:00,Real Sociedades,1.3,0–0,0.6,atRB Salzburg,"34,419",Reale Arena,Mykola Balakin,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,2023-12-12,18:45,Lensfr,1.4,2–1,1.3,esSevilla,"37,456",Stade Bollaert-Delelis,Felix Zwayer,Match Report,
Group stage,6,Tue,2023-12-12,18:45,PSV Eindhovennl,1.3,1–1,1.0,engArsenal,"35,000",Philips Stadion,Tobias Stieler,Match Report,
Group stage,6,Tue,2023-12-12,20:00,Manchester Utdeng,0.3,0–1,1.2,deBayern Munich,"73,073",Old Trafford,Espen Eskås,Match Report,
Group stage,6,Tue,2023-12-12,21:00,FC Copenhagendk,1.3,1–0,1.4,trGalatasaray,"34,726",Fælledparken Kunst,Daniele Orsato,Match Report,
Group stage,6,Tue,2023-12-12,21:00,Interit,0.7,0–0,0.7,esReal Sociedad,"69,010",Stadio Giuseppe Meazza,Sandro Schärer,Match Report,
Group stage,6,Tue,2023-12-12,21:00,RB Salzburgat,1.6,1–3,3.1,ptBenfica,"27,134",Red Bull Arena,Daniel Siebert,Match Report,
Group stage,6,Tue,2023-12-12,21:00,Union Berlinde,1.1,2–3,2.9,esReal Madrid,"73,420",Olympiastadion Berlin,Rade Obrenović,Match Report,
Group stage,6,Tue,2023-12-12,21:00,Napoliit,1.4,2–0,1.0,ptBraga,"37,841",Stadio Diego Armando Maradona,Slavko Vinčič,Match Report,
Group stage,6,Wed,2023-12-13,18:45,RB Leipzigde,0.7,2–1,1.5,chYoung Boys,"43,331",Red Bull Arena,Manfredas Lukjančukas,Match Report,
Group stage,6,Wed,2023-12-13,18:45,Red Starrs,1.1,2–3,1.4,engManchester City,"49,443",Stadion Rajko Mitić,Əliyar Ağayev,Match Report,
Group stage,6,Wed,2023-12-13,20:00,Newcastle Utdeng,1.8,1–2,1.9,itMilan,"52,037",St James' Park,Danny Makkelie,Match Report,
Group stage,6,Wed,2023-12-13,20:00,Portopt,2.7,5–3,1.5,uaShakhtar,"48,113",Estádio Do Dragão,István Kovács,Match Report,
Group stage,6,Wed,2023-12-13,20:00,Celticsct,2.2,2–1,2.1,nlFeyenoord,"56,391",Celtic Park,Benoît Bastien,Match Report,
Group stage,6,Wed,2023-12-13,21:00,Antwerpbe,1.7,3–2,1.1,esBarcelona,"13,550",Bosuilstadion,Marco Guida,Match Report,
