Home,Score,Away,Attendance,Venue,City,Country,Capacity,Result,Travel Distance,Home Points,Away Points
Lazio,1–0,Feyenoord,36612,Stadio Olimpico,Roma,Italy,70634,Home Win,1269.24,3,0
Real Sociedad,3–1,Benfica,36815,Reale Arena,San Sebastián,Spain,39500,Home Win,789.8,3,0
Napoli,1–1,Union Berlin,42449,Stadio Diego Armando Maradona,Napoli,Italy,60240,Draw,1299.45,1,1
Arsenal,2–0,Sevilla,60024,Emirates Stadium,London,England,60704,Home Win,1635.6,3,0
PSV Eindhoven,1–0,Lens,34200,Philips Stadion,Eindhoven,Netherlands,35000,Home Win,217.33,3,0
RB Salzburg,0–1,Inter,30071,Red Bull Arena (Salzburg),Wals-Siezenheim,Austria,31895,Away Win,389.3,0,3
FC Copenhagen,4–3,Manchester Utd,36099,Parken,København,Denmark,38076,Home Win,986.78,3,0
Bayern Munich,2–1,Galatasaray,75000,Allianz Arena,München,Germany,75024,Home Win,1588.56,3,0
Real Madrid,3–0,Braga,68509,Estadio Santiago Bernabéu,Madrid,Spain,81044,Home Win,417.0,3,0
Lazio,2–0,Celtic,50555,Stadio Olimpico,Roma,Italy,70634,Home Win,1968.81,3,0
Shakhtar,1–0,Antwerp,47209,Volksparkstadion,Hamburg,Germany,57000,Home Win,460.88,3,0
Manchester City,3–2,RB Leipzig,51402,Etihad Stadium,Manchester,England,55097,Home Win,1020.94,3,0
Milan,1–3,Dortmund,75292,Stadio San Siro,Milano,Italy,75923,Away Win,684.68,0,3
Paris S-G,1–1,Newcastle Utd,46435,Parc des Princes,Paris,France,48229,Draw,733.22,1,1
Feyenoord,1–3,Atlético Madrid,43992,Stadion Feijenoord,Rotterdam,Netherlands,51177,Away Win,1424.53,0,3
Young Boys,2–0,Red Star,31500,Stadion Wankdorf,Bern,Switzerland,32000,Home Win,1035.59,3,0
Barcelona,2–1,Porto,43533,Estadi Olímpic Lluís Companys,Barcelona,Spain,54367,Home Win,903.8,3,0
Sevilla,2–3,PSV Eindhoven,29403,Estadio Ramón Sánchez Pizjuán,Sevilla,Spain,43883,Away Win,1804.2,0,3
Benfica,3–3,Inter,52944,Estádio do Sport Lisboa e Benfica,Lisboa,Portugal,65272,Draw,1686.51,1,1
Braga,1–1,Union Berlin,15855,Estádio Municipal de Braga,Braga,Portugal,30154,Draw,2044.94,1,1
Arsenal,6–0,Lens,59987,Emirates Stadium,London,England,60704,Home Win,240.01,3,0
